userId,movieId,rating,timestamp
69894,34536,2.0,1142047593
69125,90469,4.0,1351845414
132055,4027,2.0,1384034974
46008,3986,4.0,1191632176
102878,68237,4.5,1433103422
136355,4370,3.5,1440152583
68012,6461,5.0,1315760115
55841,117590,3.0,1458337108
12994,4036,4.0,1039446477
114326,4306,4.0,1397316336
56863,541,5.0,851015542
141157,4979,2.5,1510032449
158413,517,3.0,1101782837
89043,85414,4.5,1537303293
29351,296,5.0,1559166798
3131,527,4.5,1108586358
41256,315,3.0,1369595426
118319,5785,3.5,1187107560
60632,4299,4.0,1560024719
130868,1251,3.0,1019676752
105892,2571,4.0,1013814879
139053,3949,4.0,1128731665
63855,79132,4.5,1400310115
75127,1573,4.0,1045503078
128856,7361,3.0,1451967535
96355,1285,5.0,966987587
130644,3499,4.0,978408517
3593,1784,4.0,1447031268
33159,1259,4.0,1553826599
114953,338,2.0,966377566
134893,141,3.0,849647992
58055,4744,4.0,1499519624
77460,2997,4.0,1197672790
107633,293,4.5,1256096185
87375,647,3.0,942107523
153082,6874,2.0,1557539023
21242,6539,3.0,1444495631
132830,4578,3.0,1011647247
53163,8360,3.5,1472566390
8710,377,3.5,1193288927
142854,82169,3.5,1294254068
139462,954,4.5,1151650096
124275,1080,4.0,1145110591
40054,2916,3.0,949288887
155454,5941,4.0,1361765540
110466,293,5.0,1470713924
27694,2662,3.0,1200829851
48541,3457,5.0,1043359368
133252,1059,3.0,974781778
142758,91529,2.5,1465700086
18836,1722,3.0,947258793
16044,80586,4.0,1494960610
92003,4643,3.5,1070197801
89955,2791,5.0,1050779941
130419,48394,3.5,1226246331
81605,19,4.0,832711607
122363,81564,4.0,1448040910
66167,3979,3.0,1285014537
76504,3176,2.0,1492292014
160462,96829,3.5,1470260905
137406,2,5.0,1169362252
38579,4874,4.0,1004993472
67223,146329,3.5,1521907756
62760,81834,3.0,1481242250
15625,1918,4.0,1496265741
99605,6242,0.5,1461108204
53804,5445,4.0,1044895488
100239,92259,2.5,1527339617
102530,87522,3.0,1561650072
147102,3755,2.0,1096692988
